Small Unit Installation Postcode,Previous Years (2001-2017) - Installations Quantity,Previous Years (2001-2017) - SGU Rated Output In kW,Jan 2018 - Installations Quantity,Jan 2018 - SGU Rated Output In kW,Feb 2018 - Installations Quantity,Feb 2018 - SGU Rated Output In kW,Mar 2018 - Installations Quantity,Mar 2018 - SGU Rated Output In kW,Apr 2018 - Installations Quantity,Apr 2018 - SGU Rated Output In kW,May 2018 - Installations Quantity,May 2018 - SGU Rated Output In kW,Jun 2018 - Installations Quantity,Jun 2018 - SGU Rated Output In kW,Jul 2018 - Installations Quantity,Jul 2018 - SGU Rated Output In kW,Aug 2018 - Installations Quantity,Aug 2018 - SGU Rated Output In kW,Sep 2018 - Installations Quantity,Sep 2018 - SGU Rated Output In kW,Oct 2018 - Installations Quantity,Oct 2018 - SGU Rated Output In kW,Nov 2018 - Installations Quantity,Nov 2018 - SGU Rated Output In kW,Dec 2018 - Installations Quantity,Dec 2018 - SGU Rated Output In kW,Jan 2019 - Installations Quantity,Jan 2019 - SGU Rated Output In kW,Feb 2019 - Installations Quantity,Feb 2019 - SGU Rated Output In kW,Mar 2019 - Installations Quantity,Mar 2019 - SGU Rated Output In kW,Apr 2019 - Installations Quantity,Apr 2019 - SGU Rated Output In kW,May 2019 - Installations Quantity,May 2019 - SGU Rated Output In kW,Jun 2019 - Installations Quantity,Jun 2019 - SGU Rated Output In kW,Jul 2019 - Installations Quantity,Jul 2019 - SGU Rated Output In kW,Aug 2019 - Installations Quantity,Aug 2019 - SGU Rated Output In kW,Sep 2019 - Installations Quantity,Sep 2019 - SGU Rated Output In kW,Oct 2019 - Installations Quantity,Oct 2019 - SGU Rated Output In kW,Nov 2019 - Installations Quantity,Nov 2019 - SGU Rated Output In kW,Dec 2019 - Installations Quantity,Dec 2019 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
0000,4,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.46
0200,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08
0800,44,810.83,1,31.9,0,0,0,0,2,146.89,0,0,2,133.82,0,0,2,42.75,1,99.9,1,59.4,0,0,2,13.08,0,0,2,13.09,3,19.8,1,32.34,1,6.6,4,26.2,13,76.815,6,271.49,2,13.2,0,0,2,11.07,6,211.875,95,2021.05
0801,6,103.008,0,0,1,31.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,134.868
0803,2,11.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.685
0804,12,47.225,0,0,0,0,0,0,1,15.125,1,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,68.95
0810,1591,8416.447,28,265.835,16,89.425,22,125.545,21,126.13,38,297.525,26,203.54,33,196.187,65,418.817,31,182.8,36,211.935,42,337.39,42,421.51,31,207.72,41,263.065,77,514.455,50,371.365,60,405.785,52,488.28,57,392.6,50,370.68,39,341.6,65,430.695,72,554.005,85,738.155,2670,16371.491
0811,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
0812,774,3873.364,10,64.388,18,103.503,28,308.21,13,68.97,24,145.858,15,85.965,18,127.655,19,114.71,13,81.28,27,171.86,35,314.51,26,170.345,26,163.025,33,252.61,31,223.8,25,157.455,39,251.595,28,183.395,34,213.32,28,178.96,27,334.65,32,203.55,42,271.57,46,298.25,1411,8362.798
0813,6,78.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,78.949
0814,3,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.06
0820,410,4349.845,7,41.1,6,80.19,12,196.014,14,126.87,18,149.78,22,368.855,16,146.965,9,93.02,8,50.05,13,153.333,20,145.742,12,221.87,14,112.67,19,133.79,20,139.025,16,155.21,37,327.56,26,199.67,19,180.54,15,105.26,20,135.745,18,181.74,19,134.055,20,287.42,810,8216.319
0821,5,131.053,1,15.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.3,0,0,0,0,0,0,0,0,0,0,7,156.303
0822,369,3962.705,13,138.21,9,104.49,6,137.77,5,40.44,12,110.84,5,71.22,13,253.66,10,58.285,14,141.34,12,109.796,16,155.5,19,156.761,13,99.66,8,132.622,13,99.17,17,164.585,16,145.025,14,119.255,6,32.605,16,170.055,19,286.615,14,218.66,22,164,20,349.085,681,7422.354
0828,83,1205.886,1,6.48,1,3.54,3,63.12,0,0,1,6.57,4,143.91,4,19.11,3,6.94,2,76.5,2,18.95,6,53.975,1,99.9,4,46.945,3,39.69,6,101.57,5,32.56,6,46.65,4,122.19,3,22.5,3,27.21,5,61.58,7,43.34,2,15.715,6,80.425,165,2345.256
0829,15,323.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.6,1,12.96,1,9.145,1,99.84,0,0,1,9.145,0,0,0,0,1,36.34,1,99.71,1,9.135,0,0,1,98.56,0,0,1,6.6,1,6.3,26,718.225
0830,833,4071.991,14,85.605,23,150.51,21,125.441,18,118.407,13,141.923,20,134.99,25,155.49,29,160.901,28,207.995,39,343.795,35,236.151,23,231.85,23,154.935,38,248.355,48,350.485,40,332.675,49,318.735,36,227.51,36,252.2,35,303.65,27,187.46,36,273.965,39,241.025,37,335.21,1565,9391.254
0831,8,32.425,0,0,0,0,0,0,0,0,1,6.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,38.98
0832,921,4569.588,25,160.735,22,139.87,31,286.091,24,145.21,19,111.59,27,173.765,39,243.832,35,208.47,45,292.875,59,509.535,52,326.705,28,212.325,36,224.88,32,200.885,40,263.895,44,275.816,47,303.53,41,265.775,53,427.427,39,241.515,40,246.2,50,315.31,47,301.095,45,290.12,1841,10737.039
0834,96,560.966,2,15.37,1,6.48,3,24.816,3,21.97,3,19.46,3,17.54,2,18.42,2,15.78,1,9.145,4,36.81,5,32.975,5,43.295,1,6.48,7,55.315,3,19.87,4,31.585,7,61.715,3,21.95,2,15.88,5,40.335,3,21.28,4,31.045,4,29.5,4,28.93,177,1186.912
0835,237,1224.556,3,17.587,1,2.32,3,18.49,2,10.06,3,22.33,5,40.475,5,37.82,4,20.4,4,29.25,13,95.735,9,78.985,7,50.965,5,37.76,4,34.39,7,53.495,4,36.535,8,53.485,6,44.885,6,44.345,8,54.87,10,67.735,10,75.92,5,40.5,13,163.155,382,2356.048
0836,513,2749.183,15,133.545,6,43.89,8,59.865,10,86.125,12,92.36,9,69.02,18,131.59,17,148.665,12,80.546,24,180.496,25,184.461,22,168.345,26,216.13,22,176.325,20,166.215,17,139.24,24,183.905,19,149.8,27,226.11,18,135.95,19,229.79,24,182.775,19,161.34,20,152.615,946,6248.286
0837,28,190.055,0,0,2,17.736,1,6.21,0,0,0,0,0,0,0,0,1,9.18,0,0,2,7.73,1,9.18,2,18.15,0,0,0,0,0,0,0,0,3,24.78,1,9.135,0,0,3,50.745,3,23.04,1,8.99,0,0,0,0,48,374.931
