Small Unit Installation Postcode,Previous Years (2001-2017) - Installations Quantity,Previous Years (2001-2017) - SGU Rated Output In kW,Jan 2018 - Installations Quantity,Jan 2018 - SGU Rated Output In kW,Feb 2018 - Installations Quantity,Feb 2018 - SGU Rated Output In kW,Mar 2018 - Installations Quantity,Mar 2018 - SGU Rated Output In kW,Apr 2018 - Installations Quantity,Apr 2018 - SGU Rated Output In kW,May 2018 - Installations Quantity,May 2018 - SGU Rated Output In kW,Jun 2018 - Installations Quantity,Jun 2018 - SGU Rated Output In kW,Jul 2018 - Installations Quantity,Jul 2018 - SGU Rated Output In kW,Aug 2018 - Installations Quantity,Aug 2018 - SGU Rated Output In kW,Sep 2018 - Installations Quantity,Sep 2018 - SGU Rated Output In kW,Oct 2018 - Installations Quantity,Oct 2018 - SGU Rated Output In kW,Nov 2018 - Installations Quantity,Nov 2018 - SGU Rated Output In kW,Dec 2018 - Installations Quantity,Dec 2018 - SGU Rated Output In kW,Jan 2019 - Installations Quantity,Jan 2019 - SGU Rated Output In kW,Feb 2019 - Installations Quantity,Feb 2019 - SGU Rated Output In kW,Mar 2019 - Installations Quantity,Mar 2019 - SGU Rated Output In kW,Apr 2019 - Installations Quantity,Apr 2019 - SGU Rated Output In kW,May 2019 - Installations Quantity,May 2019 - SGU Rated Output In kW,Jun 2019 - Installations Quantity,Jun 2019 - SGU Rated Output In kW,Jul 2019 - Installations Quantity,Jul 2019 - SGU Rated Output In kW,Aug 2019 - Installations Quantity,Aug 2019 - SGU Rated Output In kW,Sep 2019 - Installations Quantity,Sep 2019 - SGU Rated Output In kW,Oct 2019 - Installations Quantity,Oct 2019 - SGU Rated Output In kW,Nov 2019 - Installations Quantity,Nov 2019 - SGU Rated Output In kW,Dec 2019 - Installations Quantity,Dec 2019 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
0838,52,306.852,0,0,0,0,2,11.065,1,9.24,0,0,3,22.27,1,10.03,1,9.18,1,12.6,1,9.1,2,15.66,1,6.49,1,6.49,5,43.235,0,0,5,38.33,0,0,8,60.785,3,22.125,0,0,0,0,2,15.745,1,6.645,2,18.245,92,624.087
0839,3,106.12,0,0,0,0,0,0,1,6.6,1,20.9,0,0,0,0,1,6,0,0,0,0,1,3.24,0,0,2,12.98,0,0,0,0,0,0,0,0,1,39.6,0,0,2,12.98,1,6.6,2,105,0,0,0,0,15,320.02
0840,53,262.575,0,0,3,22.1,1,2.08,0,0,0,0,1,6.6,3,22.27,0,0,1,9.3,2,13.69,0,0,1,11,1,6.49,2,15.635,0,0,2,11.215,0,0,2,12.97,3,24.89,5,38.305,5,36.405,2,15.635,4,28.85,3,19.38,94,559.39
0841,26,114.78,0,0,0,0,0,0,1,9.145,1,6.93,1,9.12,1,9.18,0,0,3,188.445,1,9.24,2,15.735,0,0,2,18.265,2,15.635,1,6.6,1,9,4,33.755,3,22.215,0,0,1,9.135,1,9.3,2,18.445,1,6.6,0,0,54,511.525
0845,48,374.316,3,18.9,2,15.66,0,0,1,30,1,9.28,0,0,0,0,0,0,0,0,2,34.35,0,0,0,0,0,0,0,0,0,0,0,0,1,6.6,0,0,0,0,0,0,3,14.8,0,0,0,0,1,6.49,62,510.396
0846,31,161.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22.98,0,0,0,0,1,31.45,0,0,0,0,1,6.6,1,6.49,0,0,0,0,0,0,1,4.8,0,0,0,0,0,0,3,37,40,270.65
0847,9,156.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.96,0,0,0,0,0,0,0,0,0,0,0,0,1,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,176.345
0850,352,2953.843,4,22.56,0,0,3,25.1,2,15.72,1,9.24,5,32.72,9,64.92,2,16.436,2,14.43,7,40.76,19,216.885,12,116.31,2,41.105,6,73.68,8,59.315,3,27.91,8,197.01,12,141.61,6,38.5,18,113.695,10,133.765,9,70.085,9,159.285,15,107.59,524,4692.474
0851,44,224.735,0,0,0,0,1,39.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,264.175
0852,72,597.95,0,0,1,5.67,0,0,2,68.97,2,13.44,1,6.48,3,35.06,1,99,3,25.16,1,99,1,3.42,1,38.69,0,0,3,23.45,1,9.24,0,0,4,50.81,3,69.25,7,66.48,1,6.49,2,19.18,1,9.28,2,27.66,3,15.66,115,1290.34
0853,1,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.65
0854,9,102.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36.48,0,0,0,0,0,0,0,0,10,139.395
0860,86,477.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,121.51,1,24.18,0,0,0,0,0,0,110,623.379
0861,18,106.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,106.495
0862,21,209.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.4,0,0,0,0,0,0,0,0,0,0,0,0,1,65.1,0,0,0,0,0,0,0,0,3,10.56,1,2.64,27,293.33
0870,1815,9338.121,10,58.44,14,178.085,16,183.09,16,232.115,15,142.23,19,200.19,21,115.72,16,99.36,21,130.89,14,91.035,37,238.581,18,121.745,6,49.485,10,70.415,10,213.385,17,193.12,19,120.635,17,108.495,19,148.195,20,132.645,25,190.88,39,268.65,34,259.335,16,115.63,2264,13000.472
0871,55,394.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.6,1,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,407.38
0872,122,1307.712,3,13.68,0,0,0,0,1,39.6,0,0,1,25.2,0,0,3,21.06,0,0,1,5.13,0,0,5,32.93,0,0,2,22.8,2,11.805,0,0,2,19.92,1,10.14,1,6,4,156.715,1,9,0,0,1,7.245,2,10.4,152,1699.337
0873,47,247.278,2,14.85,0,0,2,15.105,2,10.695,1,6.2,1,7.7,2,15.51,3,23.5,0,0,2,8.22,1,1.86,5,31.1,1,5.67,2,15.615,0,0,3,15.27,1,5.775,0,0,3,22.07,2,9.216,1,9.3,1,6.4,5,38.23,4,141.95,91,651.514
0874,5,60.61,0,0,0,0,1,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.4,0,0,0,0,0,0,2,7.95,0,0,1,9.3,0,0,1,6.6,1,6.65,2,13.23,14,114.87
0875,64,289.526,1,3.64,4,26.2,2,90.55,2,12.27,1,4.95,2,13.2,1,6.48,0,0,0,0,2,13.2,4,24.1,0,0,1,3.42,1,6.6,0,0,1,6.6,1,6.555,1,6.6,0,0,0,0,3,22.095,1,6.4,1,6.49,1,6.6,94,555.476
0880,22,228.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,228.491
0881,12,107.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,107.73
0885,4,131.17,0,0,0,0,0,0,0,0,0,0,2,89.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.2,0,0,0,0,3,109.74,0,0,0,0,2,155.43,12,498.94
0886,9,131.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.15,0,0,0,0,10,151.69
1340,1,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.14
1355,1,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.02
1435,1,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.54
1460,1,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.75
1470,2,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.81
1475,2,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11.985
1480,2,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.88
1485,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1490,1,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.51
1495,1,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.75
1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.025
1570,2,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.15
1595,2,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11.7
1630,2,8,0,0,0,0,0,0,0,0,1,3.35,0,0,0,0,0,0,0,0,0,0,0,0,3,12.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23.885
1640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.075
1655,0,0,0,0,0,0,1,6.365,0,0,0,0,0,0,1,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17.845
1658,1,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.04
1660,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5
1670,1,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.44
1680,2,9.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.38
1710,1,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.8
1715,2,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.01
1730,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13.49
1741,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
1755,2,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.1
1765,7,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19.2
1790,4,115.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,115.9
1800,1,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2
1805,2,14.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.72
1830,1,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.08
1835,1,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.14
1848,1,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.04
1860,3,25.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25.42
1871,1,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.52
1875,1,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.61
1885,5,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13.29
1890,4,11.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11.38
2000,37,657.593,0,0,2,111.453,0,0,0,0,0,0,0,0,0,0,0,0,1,12.2,0,0,2,58.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,1,48.825,44,933.996
2007,18,135.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.35,0,0,1,46.2,0,0,0,0,0,0,0,0,20,190.69
2008,51,534.378,2,11.505,0,0,0,0,1,3.24,1,3.24,1,22.41,1,3.78,0,0,0,0,1,18.966,2,11.225,2,17.575,0,0,0,0,1,2.84,0,0,2,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,636.059
2009,11,176.32,1,5.04,0,0,0,0,0,0,1,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.44,1,30.8,1,95.76,16,317.67
2010,125,804.153,0,0,1,2.616,1,5.36,1,19.8,0,0,0,0,0,0,3,25.56,0,0,0,0,1,9.36,0,0,0,0,1,1.8,2,25.87,1,3.41,1,5.04,1,6.57,1,3.3,1,6.48,0,0,5,22.1,1,11.16,0,0,146,952.579
2011,26,195.014,0,0,1,3.24,0,0,1,49.5,0,0,1,13.2,0,0,0,0,1,3.85,0,0,0,0,0,0,0,0,0,0,0,0,1,11.055,0,0,2,85.5,1,4.34,0,0,1,49.82,0,0,1,6.6,0,0,36,422.119
2015,150,1233.102,0,0,2,9,2,35.28,0,0,0,0,2,28.68,1,7.194,4,16.11,1,30.25,4,69.91,2,26.44,2,165.5,0,0,6,113.406,3,74.72,0,0,2,27.9,1,5.31,7,169.28,2,21.695,3,60.45,1,6.615,0,0,3,61.71,198,2162.552
2016,82,330.686,0,0,3,14.55,1,3.24,0,0,2,22.365,0,0,1,2.64,2,27.5,0,0,1,6,1,4.875,2,18,1,3.3,3,14.578,0,0,0,0,2,9.975,0,0,4,15.59,1,5.92,0,0,2,11.55,3,72.61,0,0,111,563.379
2017,42,471.22,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,1,24.4,2,10.485,0,0,1,37.26,1,5.5,4,15.1,2,11,1,20.46,1,4.34,1,3.3,1,3,0,0,1,99.28,1,99,2,21.36,62,855.705
2018,232,791.007,0,0,2,11.06,3,20.08,0,0,4,43.175,2,57.2,2,15.59,4,21.275,0,0,1,4.64,1,3.6,2,12.63,8,62.535,3,17.125,1,6.6,4,30.84,5,27.03,1,5.985,3,14.415,6,65.86,3,17.9,5,69.12,7,43.79,2,17.975,301,1359.432
2019,217,1286.035,2,41.34,2,7.71,2,10.5,3,14.19,2,7.44,2,13.135,3,22.275,3,115.635,3,46.02,1,8.04,4,39.01,6,39.67,1,6,0,0,3,12.115,3,35.595,5,55.865,4,39.81,1,75.04,3,13.69,1,6.6,1,99.66,8,87.785,6,237.665,286,2320.825
2020,216,1045.894,2,17.19,2,51.06,3,32.9,3,29.715,0,0,0,0,2,8.64,1,3.42,1,6.27,2,14.8,1,3.84,1,76.25,3,104.38,2,15.97,3,15.94,2,8.4,5,65.06,3,15.255,3,23.595,2,8.8,4,25.3,2,38.723,4,28.015,3,21.145,270,1660.562
